name,country,unit,date,value
deforestation,Moldova,%,2010,0.6355140186915887
deforestation,Moldova,%,2015,0.005175983436852993
deforestation,Mongolia,%,1990,-0.061385172798216286
deforestation,Mongolia,%,2000,-0.05608564277651975
deforestation,Mongolia,%,2010,-0.007825774293388984
deforestation,Mongolia,%,2015,-0.00782884867258697
deforestation,Montenegro,%,2010,0
deforestation,Montenegro,%,2015,0
deforestation,Morocco,%,1990,0.038648822578204615
deforestation,Morocco,%,2000,0.30509176361199586
deforestation,Morocco,%,2010,0.03559741090514346
deforestation,Morocco,%,2015,0.20335321714992374
deforestation,Mozambique,%,1990,-0.5048642168841347
deforestation,Mozambique,%,2000,-0.5379965038360687
deforestation,Mozambique,%,2010,-0.5296860783113271
deforestation,Mozambique,%,2015,-0.6306009488666314
deforestation,Myanmar,%,1990,-1.1091709826591951
deforestation,Myanmar,%,2000,-0.9828465035816396
deforestation,Myanmar,%,2010,-0.9214401577557966
deforestation,Myanmar,%,2015,-0.9659434177412708
deforestation,Nepal,%,1990,0.1918194640338505
deforestation,Nepal,%,2000,0.3136265819719206
deforestation,Nepal,%,2010,0
deforestation,Nepal,%,2015,0
deforestation,Netherlands,%,1990,0.4112008803173776
deforestation,Netherlands,%,2000,0.3894297635605007
deforestation,Netherlands,%,2010,-0.4632108814394344
deforestation,Netherlands,%,2015,0.2549132472658499
deforestation,New Zealand,%,1990,0.5102285785620773
deforestation,New Zealand,%,2000,-0.0023349210796675115
deforestation,New Zealand,%,2010,-0.0030462666986186084
deforestation,New Zealand,%,2015,0.09343317141635546
deforestation,Nicaragua,%,1990,-1.5626660332660345
deforestation,Nicaragua,%,2000,-2.2432454457227946
deforestation,Nicaragua,%,2010,-1.3399711089621908
deforestation,Nicaragua,%,2015,-2.5591614139878645
deforestation,Niger,%,1990,-3.17172236503856
deforestation,Niger,%,2000,-0.935170544386718
deforestation,Niger,%,2010,-1.0316471467729875
deforestation,Niger,%,2015,-1.0877561744613766
deforestation,Nigeria,%,1990,-0.6156203194666082
deforestation,Nigeria,%,2000,-0.6560468307607267
deforestation,Nigeria,%,2010,-0.702107224511801
deforestation,Nigeria,%,2015,-0.7276064954363077
deforestation,North Korea,%,1990,-0.6616001377308838
deforestation,North Korea,%,2000,-0.3289081272686992
deforestation,North Korea,%,2010,-0.34009409857442424
deforestation,North Korea,%,2015,-0.34597734117309625
deforestation,Norway,%,1990,-0.015661061655126936
deforestation,Norway,%,2000,-0.009081152480805744
deforestation,Norway,%,2010,0.06445215666831927
deforestation,Norway,%,2015,0.06424511984185816
